nominstallation,codeeicresourceobject,codeiris,commune,epci,departement,region,dateraccordement,datemiseenservice,datedebutversion,postesource,tensionraccordement,moderaccordement,combustible,combustiblessecondaires,technologie,typestockage,puismaxinstallee,puismaxrac,nbgroupes,regime,gestionnaire
Confidentiel,17W000000498870X,803590000,Fresnoy-lès-Roye,CC du Grand Roye,Somme,Hauts-de-France,18/12/2018,18/12/2018,22/03/2021,PERTA,HTA,Direct,,,TERRESTRE,,7050.0,7050.0,1.0,En service,Enedis
Confidentiel,17W000000050300I,803600000,Fressenneville,CC du Vimeu,Somme,Hauts-de-France,01/06/2010,01/06/2010,23/03/2021,SAUCO,HTA,Direct,,,TERRESTRE,,9200.0,9200.0,1.0,En service,Enedis
Confidentiel,17W000000384199X,803600000,Fressenneville,CC du Vimeu,Somme,Hauts-de-France,10/11/2016,10/11/2016,23/03/2021,SAUCO,HTA,Direct,,,TERRESTRE,,9200.0,9200.0,1.0,En service,Enedis
Confidentiel,17W000000418895S,803600000,Fressenneville,CC du Vimeu,Somme,Hauts-de-France,20/02/2014,20/02/2014,21/04/2021,SAUCO,HTA,Direct,,,TERRESTRE,,4600.0,4600.0,1.0,En service,Enedis
Confidentiel,17W0000004332197,803600000,Fressenneville,CC du Vimeu,Somme,Hauts-de-France,01/06/2010,01/06/2010,18/05/2022,SAUCO,HTA,Direct,,,TERRESTRE,,9200.0,9200.0,1.0,En service,Enedis
Confidentiel,17W000000390047X,803600000,Fressenneville,CC du Vimeu,Somme,Hauts-de-France,10/11/2016,10/11/2016,23/03/2021,SAUCO,HTA,Direct,,,TERRESTRE,,11500.0,11500.0,1.0,En service,Enedis
Confidentiel,17W000000970469E,803650000,Fricamps,CC Somme Sud-Ouest,Somme,Hauts-de-France,11/06/2020,11/06/2020,11/03/2021,CROI5,HTA,Direct,,,TERRESTRE,,7050.0,7050.0,1.0,En service,Enedis
Confidentiel,17W0000000511263,803730000,Gamaches,CC des Villes Surs,Somme,Hauts-de-France,01/08/2013,01/08/2013,21/04/2021,BXCH5,HTA,Direct,,,TERRESTRE,,11500.0,11500.0,1.0,En service,Enedis
Confidentiel,17W0000013530281,803930000,Gruny,CC du Grand Roye,Somme,Hauts-de-France,,18/04/2014,29/07/2022,,HTA,Direct,,,TERRESTRE,,9200.0,9200.0,,En service,SICAE de la Somme et du Cambraisis
Confidentiel,17W000001353073X,803950000,Guerbigny,CC du Grand Roye,Somme,Hauts-de-France,,28/06/2019,29/07/2022,,HTA,Direct,,,TERRESTRE,,17000.0,17000.0,,En service,SICAE de la Somme et du Cambraisis
Confidentiel,17W000000956971Q,804090000,Hallu,CC Terre de Picardie,Somme,Hauts-de-France,09/12/2019,09/12/2019,01/04/2020,PERTA,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W000001468185L,804150000,Hangest-en-Santerre,CC Avre Luce Noye,Somme,Hauts-de-France,,19/10/2022,19/10/2022,,HTA,Direct,,,TERRESTRE,,11700.0,11700.0,,En service,SICAE de la Somme et du Cambraisis
Confidentiel,17W000000165158V,804160000,Hangest-sur-Somme,CC Nièvre et Somme,Somme,Hauts-de-France,05/03/2015,05/03/2015,03/06/2022,AIRAI,HTA,Direct,,,TERRESTRE,,10250.0,10250.0,1.0,En service,Enedis
Confidentiel,17W000000041497B,804160000,Hangest-sur-Somme,CC Nièvre et Somme,Somme,Hauts-de-France,05/03/2015,05/03/2015,03/06/2022,AIRAI,HTA,Direct,,,TERRESTRE,,10250.0,10250.0,1.0,En service,Enedis
Confidentiel,17W0000001543367,,Harbonnières,CC Terre de Picardie,Somme,Hauts-de-France,17/09/2014,17/09/2014,18/01/2022,VAUVI,HTA,Direct,,,TERRESTRE,,12000.0,12000.0,1.0,En service,Enedis
Confidentiel,17W000000968671M,804320000,Herleville,CC Terre de Picardie,Somme,Hauts-de-France,29/06/2020,29/06/2020,18/03/2022,VAUVI,HTA,Direct,,,TERRESTRE,,11000.0,11000.0,1.0,En service,Enedis
Confidentiel,17W0000000413431,804360000,Hescamps,CC Somme Sud-Ouest,Somme,Hauts-de-France,15/11/2007,15/11/2007,12/12/2022,AUMAL,HTA,Direct,,,TERRESTRE,,6000.0,6000.0,1.0,En service,Enedis
Confidentiel,17W000000058012K,,Hombleux,CC de l'Est de la Somme,Somme,Hauts-de-France,01/09/2008,01/09/2008,22/06/2021,,HTA,Direct,,,TERRESTRE,,8000.0,8000.0,4.0,En service,Enedis
Confidentiel,17W000000054406J,804560000,Lafresguimont-Saint-Martin,CC Somme Sud-Ouest,Somme,Hauts-de-France,01/08/2012,01/08/2012,02/04/2021,AUMAL,HTA,Direct,,,TERRESTRE,,12300.0,12300.0,1.0,En service,Enedis
